id_interacao,id_cliente,canal,tipo_problema,tempo_resolucao,satisfacao_cliente
1,179,E-mail,Dúvida,50,2
2,199,Telefone,Técnico,41,4
3,181,Telefone,Reclamação,20,4
4,10,E-mail,Dúvida,43,1
5,113,E-mail,Dúvida,59,1
6,185,E-mail,Reclamação,20,1
7,121,Telefone,Operacional,51,1
8,85,Chat,Dúvida,49,3
9,161,Chat,Reclamação,70,1
10,159,E-mail,Financeiro,37,2
11,192,E-mail,Reclamação,13,1
12,114,E-mail,Operacional,4,1
13,84,E-mail,Operacional,46,3
14,111,E-mail,Financeiro,68,4
15,145,Chat,Financeiro,22,2
16,21,Chat,Reclamação,31,4
17,150,E-mail,Financeiro,60,3
18,118,Telefone,Técnico,60,3
19,174,Chat,Financeiro,10,4
20,89,Chat,Operacional,55,3
21,117,Telefone,Financeiro,50,4
22,28,E-mail,Reclamação,46,5
23,76,Chat,Operacional,3,4
24,71,E-mail,Dúvida,7,5
25,191,Telefone,Operacional,30,5
26,91,E-mail,Financeiro,33,2
27,161,E-mail,Técnico,40,4
28,9,Chat,Operacional,17,1
29,76,Telefone,Reclamação,23,2
30,34,Chat,Operacional,68,5
31,70,E-mail,Operacional,62,3
32,192,Telefone,Técnico,60,1
33,37,E-mail,Reclamação,72,3
34,24,Telefone,Técnico,34,5
35,32,Telefone,Operacional,34,5
36,98,Chat,Operacional,14,2
37,121,E-mail,Dúvida,72,3
38,157,E-mail,Técnico,60,3
39,167,Telefone,Técnico,18,1
40,10,Telefone,Reclamação,15,1
41,61,Chat,Financeiro,50,4
42,95,Chat,Dúvida,54,5
43,191,Chat,Financeiro,54,1
44,126,Chat,Reclamação,36,1
45,177,Telefone,Financeiro,57,4
46,61,Telefone,Técnico,48,5
47,166,Telefone,Técnico,51,3
48,49,E-mail,Reclamação,12,2
49,165,Chat,Dúvida,3,1
50,86,E-mail,Financeiro,27,1
51,196,Chat,Financeiro,28,2
52,85,E-mail,Dúvida,1,3
53,38,E-mail,Dúvida,33,2
54,29,Chat,Técnico,17,1
55,92,E-mail,Dúvida,42,1
56,45,Telefone,Técnico,17,4
57,135,E-mail,Técnico,61,4
58,200,Telefone,Dúvida,14,4
59,129,E-mail,Dúvida,6,5
60,78,Telefone,Técnico,8,4
61,103,Telefone,Técnico,63,4
62,19,E-mail,Operacional,19,1
63,33,Telefone,Dúvida,71,3
64,98,Chat,Dúvida,38,4
65,130,Chat,Reclamação,13,1
66,168,Chat,Dúvida,28,4
67,116,E-mail,Reclamação,44,4
68,103,Telefone,Técnico,41,4
69,81,Chat,Operacional,48,2
