id_venda,id_cliente,data_venda,produto,quantidade,valor_total
1,13,2023-07-08,Teclado,5,4196.54
2,24,2024-10-28,Smartphone,2,2091.43
3,124,2023-10-11,Smartphone,4,4521.97
4,43,2023-08-22,Monitor,1,4928.01
5,68,2023-01-27,Monitor,3,2172.74
6,188,2024-06-29,Mouse,4,858.5
7,76,2025-03-11,Smartphone,1,2937.98
8,139,2024-08-23,Notebook,3,380.11
9,150,2024-05-19,Monitor,5,4605.0
10,136,2023-02-04,Smartphone,1,4807.82
11,21,2025-03-17,Smartphone,1,3015.67
12,173,2025-05-12,Smartphone,4,687.44
13,146,2023-04-28,Smartphone,5,3013.14
14,159,2025-03-28,Notebook,4,3321.13
15,145,2023-06-07,Mouse,3,4680.06
16,53,2024-09-28,Teclado,3,1269.56
17,102,2022-07-28,Smartphone,3,2340.4
18,193,2023-08-26,Notebook,1,2345.6
19,145,2023-05-19,Notebook,1,2734.41
20,130,2022-12-28,Tablet,2,4672.97
21,18,2024-07-18,Smartphone,3,1496.44
22,113,2024-12-27,Mouse,3,3097.22
23,168,2025-05-28,Mouse,1,3372.53
24,142,2024-09-27,Tablet,1,4700.76
25,35,2024-03-26,Tablet,1,4459.59
26,191,2024-09-11,Mouse,2,1434.51
27,155,2022-08-26,Smartphone,3,1097.63
28,163,2025-03-04,Tablet,5,2493.81
29,14,2023-03-03,Notebook,4,4163.81
30,12,2024-01-19,Notebook,3,3878.48
31,164,2022-08-20,Tablet,2,3732.03
32,142,2025-06-11,Teclado,4,2848.44
33,29,2022-11-16,Notebook,2,2773.39
34,95,2024-03-14,Mouse,5,825.66
35,33,2025-01-13,Notebook,3,1886.79
36,11,2024-11-03,Tablet,2,3442.13
37,171,2022-10-11,Notebook,3,3922.57
38,105,2025-06-15,Mouse,2,4636.24
39,61,2022-11-01,Smartphone,2,4418.94
40,7,2024-02-20,Smartphone,3,3933.69
41,106,2023-10-09,Teclado,2,1407.35
42,180,2024-09-03,Notebook,4,4373.62
43,121,2023-01-25,Smartphone,2,4101.27
44,118,2023-04-29,Tablet,3,4120.63
45,59,2025-04-16,Smartphone,1,3334.16
46,103,2022-09-03,Tablet,3,4335.33
47,198,2022-12-26,Tablet,3,3243.26
48,103,2023-04-13,Teclado,5,1722.63
49,8,2024-02-04,Notebook,3,974.98
50,68,2023-10-11,Notebook,1,3023.2
51,89,2024-07-17,Teclado,3,2238.33
52,131,2023-06-19,Notebook,4,4507.57
53,49,2023-04-15,Tablet,1,3573.05
54,1,2023-05-06,Mouse,5,3465.6
55,190,2022-08-29,Teclado,2,1884.69
56,18,2024-06-30,Teclado,3,3153.46
57,170,2022-11-23,Notebook,3,2584.9
58,171,2025-05-18,Monitor,3,2071.76
59,76,2023-12-13,Mouse,2,1040.02
60,171,2022-11-22,Monitor,2,3116.02
61,78,2023-05-10,Monitor,5,4185.25
62,78,2024-05-11,Tablet,2,2206.45
63,149,2023-04-06,Mouse,3,2378.44
64,114,2024-11-18,Teclado,2,2604.75
65,189,2022-09-16,Smartphone,1,1490.55
66,170,2023-12-08,Teclado,5,1742.42
67,193,2025-04-07,Smartphone,3,1200.74
68,51,2023-07-28,Smartphone,1,326.45
69,122,2023-07-19,Mouse,1,2331.54
70,162,2023-10-20,Mouse,2,3619.89
71,99,2024-02-25,Monitor,4,1295.52
72,168,2023-03-28,Teclado,1,4474.03
73,198,2025-05-03,Notebook,4,1172.32
74,179,2023-06-26,Mouse,4,346.07
75,64,2025-03-09,Notebook,4,753.36
76,119,2024-05-28,Teclado,5,4940.67
77,153,2025-04-17,Tablet,4,3102.0
78,185,2025-04-25,Mouse,4,4169.79
79,141,2024-04-24,Monitor,2,3743.91
